,with_scrach2predication,with_scrach2groundtruth,predication2groundtruth
11.bmp,63.498067220052086,683.1919759114584,668.256103515625
12.bmp,145.77018229166666,1380.01806640625,1301.4966634114583
13.bmp,76.22289530436198,1871.0965169270833,1838.4161783854167
17.bmp,27.952097574869793,1094.15087890625,1054.7418619791667
20.bmp,25.634780883789062,1322.8077799479167,1299.333984375
21.bmp,29.72637430826823,1250.4459635416667,1235.6351725260417
23.bmp,183.23333740234375,2495.9729817708335,2277.802734375
24.bmp,111.0947977701823,1542.5079752604167,1548.9417317708333
26.bmp,126.3675537109375,1593.970703125,1459.2529296875
28.bmp,24.281519571940105,1322.8077799479167,1298.6476236979167
2.bmp,67.80978902180989,867.2945963541666,841.4722493489584
5.bmp,41.27636210123698,1222.4354654947917,1171.9879557291667
6.bmp,30.16608174641927,1163.5415852864583,1146.9908854166667
9.bmp,94.82356770833333,1433.08251953125,1353.6763509114583
