,with_scrach2predication,with_scrach2groundtruth,predication2groundtruth
11.bmp,0.9570477954399111,0.4775604616545193,0.4831822253060627
12.bmp,0.9242692894305105,0.2650110551509688,0.27127266945351647
13.bmp,0.9439373600907267,0.3135459762426518,0.30238077011638165
17.bmp,0.9676324706016772,0.3754432194615369,0.37904949535508026
20.bmp,0.9792515672989026,0.31315731015991294,0.3214904287562918
21.bmp,0.9720962777794404,0.31195533640869927,0.31938637392468006
23.bmp,0.9413982381426971,0.2997614510610431,0.2896444219822605
24.bmp,0.9313800612888162,0.3255256371882428,0.30814399685309424
26.bmp,0.9477834414445607,0.25390213778369813,0.2738721749442785
28.bmp,0.9793559992236217,0.31315731015991294,0.3215095738784895
2.bmp,0.9422582046302326,0.363304692316793,0.3751680889715731
5.bmp,0.967507296697831,0.3250535648495886,0.3338420848038072
6.bmp,0.973672488081451,0.32547399951479616,0.33096939338190473
9.bmp,0.9599798175611037,0.31069891864446203,0.3242786946330663
