,with_scrach2predication,with_scrach2groundtruth,predication2groundtruth
11.bmp,30.103198546065002,19.785376039449247,19.881374267935428
12.bmp,26.494116639816166,16.73195588894802,16.986373018024864
13.bmp,29.309949195697016,15.40984170541751,15.486365276391286
17.bmp,33.66665957196085,17.74003147318087,17.899341776660194
20.bmp,34.04250751257203,16.915836203636857,16.99359563199198
21.bmp,33.39938418832009,17.160154318887404,17.211900988100687
23.bmp,25.500758689775886,14.15840480951813,14.555642509062242
24.bmp,27.673866381340694,16.248529427152167,16.23045280130244
26.bmp,27.114447825954834,16.106000259835234,16.48949786968058
28.bmp,34.27804498849453,16.915836203636857,16.995890356948166
2.bmp,29.817879677194263,18.749137203243308,18.880405627822626
5.bmp,31.973789471755886,17.25854419631997,17.44157212314882
6.bmp,33.33561457269615,17.472984511672124,17.53520394081703
9.bmp,28.361640693777662,16.568091622743,16.815655191295253
